"","Starting Year","Rank","Team","Wins","Home: Total Attendance","Home: Avg Attendance","Home: Total Games","Home: % Capactiy","Away: Total Games","Away: Total Attendance","Away: Avg Attendance","Away: % Capactiy","Wins.1"
"1",2015,1,"Bulls",42,894659,21820,41,"104.3",41,18156,"94.5",82,42
"2",2015,2,"Cavaliers",57,843042,20562,41,"100",41,18910,"98.2",82,57
"3",2015,3,"Mavericks",42,825901,20143,41,"104.9",41,17727,"93.4",82,42
"4",2015,4,"Raptors",56,812863,19825,41,"100.1",41,17162,"89.2",82,56
"5",2015,5,"NY Knicks",32,812292,19812,41,"100",41,18440,"96",82,32
"6",2015,6,"Heat",48,809350,19740,41,"100.7",41,18044,"93.9",82,48
"7",2015,7,"Warriors",73,803436,19596,41,"100",41,19134,"100.5",82,73
"8",2015,8,"Trail Blazers",44,794085,19367,41,"99.6",41,17703,"93.3",82,44
"9",2015,9,"Jazz",40,791489,19304,41,"97",41,17378,"91.6",82,40
"10",2015,10,"Clippers",53,786910,19192,41,"100.7",41,17792,"93.6",82,53
"11",2015,11,"Lakers",17,778877,18997,41,"99.7",41,19149,"100.9",82,17
"12",2015,12,"Spurs",67,756445,18449,41,"99.3",41,17938,"94.4",82,67
"13",2015,13,"Celtics",48,749076,18270,41,"98.1",41,17439,"90.5",82,48
"14",2015,14,"Thunder",55,746323,18203,41,"100",41,18258,"95.6",82,55
"15",2015,15,"Rockets",41,737244,17981,41,"99.7",41,17740,"93.3",82,41
"16",2015,16,"Wizards",41,725426,17693,41,"87.3",41,17787,"92.4",82,41
"17",2015,17,"Magic",35,719275,17543,41,"93.1",41,17175,"89.2",82,35
"18",2015,18,"Hornets",48,716894,17485,41,"91.7",41,17784,"92.4",82,48
"19",2015,19,"Kings",33,707526,17256,41,"99.7",41,17355,"91",82,33
"20",2015,20,"Suns",23,701405,17107,41,"92.9",41,16881,"88.7",82,23
"21",2015,21,"Pacers",45,690733,16847,41,"92.7",41,17851,"92.3",82,45
"22",2015,22,"Hawks",48,690150,16832,41,"89.9",41,17611,"91",82,48
"23",2015,23,"Pelicans",30,688549,16793,41,"97.7",41,17851,"93.6",82,30
"24",2015,24,"Grizzlies",42,684603,16697,41,"92.2",41,17589,"92.1",82,42
"25",2015,25,"Pistons",44,677138,16515,41,"74.8",41,17814,"93",82,44
"26",2015,26,"Bucks",33,621808,15166,41,"81",41,17623,"91.4",82,33
"27",2015,27,"Nets",21,620142,15125,41,"83.6",41,18106,"93.6",82,21
"28",2015,28,"76ers",10,610121,14881,41,"73.2",41,17491,"90.7",82,10
"29",2015,29,"Timberwolves",29,581178,14175,41,"73.2",41,17831,"94",82,29
"30",2015,30,"Nuggets",33,577898,14095,41,"73.6",41,17751,"93.2",82,33
"31",2014,1,"Bulls",50,875091,21343,41,"102",41,18404,"95.7",82,50
"32",2014,2,"Cavaliers",53,843042,20562,41,"100",41,18915,"98.3",82,53
"33",2014,3,"Mavericks",50,827702,20187,41,"105.1",41,17653,"92.7",82,50
"34",2014,4,"NY Knicks",17,812292,19812,41,"100",41,17462,"90.7",82,17
"35",2014,5,"Raptors",49,809824,19751,41,"99.8",41,17522,"90.9",82,49
"36",2014,6,"Heat",37,808223,19712,41,"100.6",41,17703,"92",82,37
"37",2014,7,"Warriors",67,803436,19596,41,"100",41,18312,"96.2",82,67
"38",2014,8,"Trail Blazers",51,801733,19554,41,"94",41,17657,"92.9",82,51
"39",2014,9,"Clippers",56,785892,19168,41,"100.6",41,18079,"94.7",82,56
"40",2014,10,"Jazz",38,772059,18830,41,"94.6",41,17135,"90",82,38
"41",2014,11,"Lakers",21,768244,18737,41,"98.3",41,17875,"93.6",82,21
"42",2014,12,"Spurs",55,762855,18606,41,"100.1",41,17972,"94.1",82,55
"43",2014,13,"Wizards",46,747796,18238,41,"89.9",41,18253,"95",82,46
"44",2014,14,"Rockets",56,747412,18229,41,"101",41,17969,"94",82,56
"45",2014,15,"Thunder",45,746323,18203,41,"100",41,17956,"93.9",82,45
"46",2014,16,"Celtics",40,721350,17593,41,"94.5",41,17741,"91.9",82,40
"47",2014,17,"Hawks",60,713909,17412,41,"93",41,17582,"90.8",82,60
"48",2014,18,"Grizzlies",55,710502,17329,41,"95.6",41,18017,"94.4",82,55
"49",2014,19,"Hornets",33,704886,17192,41,"90.1",41,17654,"91.1",82,33
"50",2014,20,"Nets",38,698529,17037,41,"94.1",41,18039,"92.9",82,38
"51",2014,21,"Suns",39,693862,16923,41,"91.9",41,17586,"92.1",82,39
"52",2014,22,"Pacers",38,691434,16864,41,"92.8",41,17892,"92.4",82,38
"53",2014,23,"Magic",25,688194,16785,41,"89.1",41,17585,"91.2",82,25
"54",2014,24,"Pelicans",45,683757,16677,41,"97",41,17640,"92.1",82,45
"55",2014,25,"Kings",29,680049,16586,41,"95.8",41,17515,"91.7",82,29
"56",2014,26,"Pistons",32,625917,15266,41,"69.2",41,17866,"93",82,32
"57",2014,27,"Bucks",41,611226,14907,41,"79.6",41,17180,"88.8",82,41
"58",2014,28,"Nuggets",30,602707,14700,41,"76.7",41,17437,"91.5",82,30
"59",2014,29,"Timberwolves",16,595652,14528,41,"75.1",41,18000,"94.2",82,16
"60",2014,30,"76ers",18,571572,13940,41,"68.6",41,17665,"91.8",82,18
"61",2013,1,"Bulls",48,890370,21716,41,"103.8",41,17551,"91.1",82,48
"62",2013,2,"Mavericks",49,817982,19950,41,"103.9",41,17268,"90.8",82,49
"63",2013,3,"NY Knicks",37,812292,19812,41,"100",41,17422,"90.3",82,37
"64",2013,4,"Heat",54,811036,19781,41,"100.9",41,19190,"99.3",82,54
"65",2013,5,"Trail Blazers",54,809612,19746,41,"95",41,17312,"91.1",82,54
"66",2013,6,"Warriors",51,803436,19596,41,"100",41,17526,"92",82,51
"67",2013,7,"Clippers",57,787692,19212,41,"100.8",41,17218,"90.4",82,57
"68",2013,8,"Lakers",27,771974,18828,41,"98.8",41,17845,"93.6",82,27
"69",2013,9,"Spurs",62,755031,18415,41,"99.1",41,17627,"92.2",82,62
"70",2013,10,"Raptors",48,748339,18252,41,"92.2",41,16702,"86.8",82,48
"71",2013,11,"Thunder",59,746323,18203,41,"100",41,18170,"95.2",82,59
"72",2013,12,"Jazz",25,745203,18175,41,"91.3",41,17295,"90.6",82,25
"73",2013,13,"Rockets",54,743082,18123,41,"100.4",41,17427,"91.1",82,54
